,Personalizar,Cut.Mch,Type,Int Fam,Circuit,Wire/Tube/Splice,Section,Color 1,Color 2,length,Bundle Qty,Term A,Joint to A,Seal A,Strip A,Rmks A,Term B,Joint to B,Seal B,Strip B,Rmks B,KBN Loc,Topologia,Abastecimento,Rate pçs/h,Processo,Projeto,Tamanho de lote,Max nunber,Segunda  1T,Segunda 2T,Terça 1T,Terça 2T,Quarta 1T,Quarta 2T,Quinta 1T,Quinta 2T,Sexta 1T,Sexta 2T,Sábado 1T,Sábado 2T,total week,MP comuns,ProcessoA,ProcessoB,Máq_Tipo
537,V146249B,B01,C,V14,6249B,E28687300,10.0,RD,BU,970.0,5.0,E24570700,                  ,,10.0,                                                            ,3202545S7,                  ,3204511U9,7.0,                                                            ,SB.A-17,IP,,1000.0,TS,VS30,570.0,114.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,350.0,,BATERIA,BATERIA,B01-TT
538,V147220_1B,B01,I,V14,7220_1B,E09311300,0.35,PK,  ,4180.0,15.0,E00309500,                  ,,3.5,                                                            ,E15509300,                  ,329983118,3.5,                                                            ,B01.C-03,IP,,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
539,V147220_2B,B01,I,V14,7220_2B,E09311300,0.35,GN,  ,4180.0,15.0,E00309500,                  ,,3.5,                                                            ,E15509300,                  ,329983118,3.5,                                                            ,B01.C-03,IP,CORTE,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
540,V127593_4,B01,I,V12,7593_4,E11176400,0.35,BA,  ,3470.0,15.0,E00066800,                  ,,3.5,                                                            ,,Z87/16*7-L        ,,13.0,                                                            ,B01.B-06,IP,,,TT,VS30,45.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
541,V143947_1B,B01,I,V14,3947_1B,E09311300,0.35,PK,  ,2495.0,60.0,E03846100,                  ,329983118,4.0,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-09,IP,,,TS,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
542,V127593_3,B01,I,V12,7593_3,E11176400,0.35,WH,  ,3470.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.B-06,IP,,,TT,VS30,45.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
543,V244287_2L,B01,I,V24,4287_2L,E10536300,0.5,WH,PK,8370.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-08,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
544,V124903_2,B01,I,V12,4903_2,E11176400,0.35,BN,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
545,V14MC4281B,B01,M,V14,MC4281B,E10536500,0.0,,,620.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-02,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,B01-TT
546,V144284_1B,B01,I,V14,4284_1B,E10536600,0.5,BK,GN,5225.0,15.0,E03999200,                  ,329983100,4.0,                                                            ,E03355600,                  ,329983100,4.0,                                                            ,B01.A-03,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
547,V143947_2B,B01,I,V14,3947_2B,E09311300,0.35,GN,  ,2495.0,60.0,E03846100,                  ,329983118,4.0,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-09,IP,,,TS,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
548,V14MC4284B,B01,M,V14,MC4284B,E10536600,0.0,,,5200.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-03,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,B01-TT
549,V124903_4,B01,I,V12,4903_4,E11176400,0.35,BA,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,,Z87/16*3-L        ,,13.0,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,SEAL CRIMP,SPLICE,B01-TT
550,V124903_3,B01,I,V12,4903_3,E11176400,0.35,WH,  ,3410.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-22,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
551,V164804D.1,B01,C,V16,4804D.1,E11179200,16.0,RD,WH,7530.0,5.0,3202554K5,                  ,,9.0,                                                            ,E11495000,                  ,,11.0,BT                                                          ,SB.A-23,IP,,,TT,VS30,155.0,31.0,5.0,0.0,9.0,0.0,26.0,0.0,8.0,0.0,27.0,0.0,0.0,0.0,75.0,V164804D.1,,,B01-TT
552,V164287_2D,B01,I,V16,4287_2D,E10536300,0.5,WH,PK,8370.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-08,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
553,V12MC5921,B01,M,V12,MC5921,E09311300,0.0,,,1615.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.B-01,IP,,,TT,VS30,1140.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V12MC5921,,,B01-TT
554,V164804D.2,B01,C,V16,4804D.2,E11179200,16.0,RD,WH,7530.0,5.0,3202554K5,                  ,,9.0,                                                            ,E11495000,                  ,,11.0,BT                                                          ,CAIXA,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V164804D.1,,,B01-TT
555,V145927_2B,B01,I,V14,5927_2B,E09311300,0.35,GN,  ,965.0,15.0,E00309500,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.B-05,IP,SPLICE,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
556,V244278_2L,B01,I,V24,4278_2L,E10536200,0.5,WH,GY,8150.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-07,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
557,V12MC4903,B01,M,V12,MC4903,E11176400,0.0,,,3410.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-22,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
558,V12MC4763,B01,M,V12,MC4763,E11176400,0.0,,,3240.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-21,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
559,V17MC4287E,B01,M,V17,MC4287E,E10536300,0.0,,,8000.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-10,IP,CORTE,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
560,V164805D,B01,C,V16,4805D,E08016201,6.0,RD,WH,7530.0,5.0,320151509,                  ,,6.5,                                                            ,E11494800,                  ,,8.0,BT                                                          ,B02.A-28,IP,CORTE,1000.0,TT,VS30,35.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,MECAL,MECAL,B01-TT
561,A99A35.00,B01,C,A99,A35.00,E08015500,35.0,RD,  ,200.0,10.0,,                  ,0,13.0,                                                            ,,                  ,,13.0,                                                            ,B01.A-18,lead prep,CORTE,,TS,AMOSTRA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
562,V17MC4278E,B01,M,V17,MC4278E,E10536200,0.0,,,7860.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-09,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
563,V19MC2614G,B01,M,V19,MC2614G,E10536300,0.0,,,7885.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-01,IP,CORTE,,TT,VS30,165.0,11.0,17.0,0.0,8.0,0.0,25.0,0.0,7.0,0.0,26.0,0.0,0.0,0.0,90.0,,,,B01-TT
564,V19MC2611G,B01,M,V19,MC2611G,E10536200,0.0,,,7760.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-02,IP,,,TT,VS30,225.0,15.0,17.0,0.0,8.0,0.0,25.0,0.0,7.0,0.0,26.0,0.0,0.0,0.0,90.0,V19MC2611G,,,B01-TT
565,V141779B,B01,C,V14,1779B,E08014500,25.0,RD,  ,465.0,5.0,E09197900,                  ,,11.0,                                                            ,,Z265*1-L          ,,18.0,                                                            ,CAIXA,IP,SPLICE,1000.0,TT,VS30,570.0,114.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,350.0,,BATERIA,BATERIA,B01-TT
566,V12MC5924,B01,M,V12,MC5924,E09311300,0.0,,,1615.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.B-01,IP,,,TT,VS30,,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,V12MC5921,,,B01-TT
567,V124757_3,B01,I,V12,4757_3,E03677800,0.35,OG,  ,3300.0,15.0,E00066800,                  ,,3.5,                                                            ,E03844600,                  ,,3.7,                                                            ,B01.B-04,IP,SPLICE,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
568,V124757_4,B01,I,V12,4757_4,E03677800,0.35,PK,  ,3300.0,15.0,E00066800,                  ,,3.5,                                                            ,E03844600,                  ,,3.7,                                                            ,B01.B-04,IP,PREASS,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
569,V14MC725B,B01,M,V14,MC725B,E10536500,0.0,,,675.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-11,IP,,,TT,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
570,V14MC7265B,B01,M,V14,MC7265B,E09311300,0.0,,,1260.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-12,IP,,,TT,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
571,V14MC7288B,B01,M,V14,MC7288B,E09311300,0.0,,,2225.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-13,IP,CORTE,,TT,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
572,V242611_2L,B01,I,V24,2611_2L,E10536200,0.5,WH,GY,8040.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.B-12,IP,,,TS,VS30,45.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,B01-TT
573,V124757_5,B01,I,V12,4757_5,E03677800,0.35,BA,  ,3300.0,15.0,E03844600,                  ,,3.7,                                                            ,,Z87/16*1-L        ,,13.0,                                                            ,B01.B-04,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,MECAL,B01-TT
574,V242611_1L,B01,I,V24,2611_1L,E10536200,0.5,BK,GY,8040.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.B-12,IP,CORTE,,TS,VS30,45.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,B01-TT
575,V14MC4304B,B01,M,V14,MC4304B,E09311300,0.0,,,2485.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-24,IP,MULTI,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
576,V14MC4307B,B01,M,V14,MC4307B,E09311300,0.0,,,1930.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.B-03,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V14MC4307B,,,B01-TT
577,V174278_1E,B01,I,V17,4278_1E,E10536200,0.5,BK,GY,7860.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-09,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
578,V14MC4287B,B01,M,V14,MC4287B,E10536300,0.0,,,7455.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-04,IP,CORTE,,TT,VS30,330.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V14MC4287B,,,B01-TT
579,V14MC7220B,B01,M,V14,MC7220B,E09311300,0.0,,,4180.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-03,IP,CORTE,,TT,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
580,V124757_2,B01,I,V12,4757_2,E03677800,0.35,GN,  ,3300.0,15.0,E00066800,                  ,,3.5,                                                            ,E03844600,                  ,,3.7,                                                            ,B01.B-04,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
581,V14MC5927B,B01,M,V14,MC5927B,E09311300,0.0,,,965.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.B-05,IP,MULTI,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
582,V14MC7211B,B01,M,V14,MC7211B,E09311300,0.0,,,5575.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-10,IP,,,TT,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
583,V14MC728B,B01,M,V14,MC728B,E10536600,0.0,,,5155.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-14,IP,,,TT,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
584,V124763_3,B01,I,V12,4763_3,E11176400,0.35,WH,  ,3240.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-21,IP,,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
585,V26MC4278N,B01,M,V26,MC4278N,E10536200,0.0,,,7090.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-05,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V23MC4278K,,,B01-TT
586,V147211_1B,B01,I,V14,7211_1B,E09311300,0.35,PK,  ,5575.0,15.0,E00066800,                  ,,3.5,                                                            ,E03846100,                  ,329983118,4.0,                                                            ,B01.C-10,IP,,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
587,V124763_2,B01,I,V12,4763_2,E11176400,0.35,BN,  ,3240.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.A-21,IP,SPLICE,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
588,V244287_1L,B01,I,V24,4287_1L,E10536300,0.5,BK,PK,8370.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-08,IP,SPLICE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
589,V124763_4,B01,I,V12,4763_4,E11176400,0.35,BA,  ,3240.0,15.0,E00066800,                  ,,3.5,                                                            ,,Z87/16*3-L        ,,13.0,                                                            ,B01.A-21,IP,SPLICE,1000.0,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SPLICE,B01-TT
590,V147211_2B,B01,I,V14,7211_2B,E09311300,0.35,GN,  ,5575.0,15.0,E00066800,                  ,,3.5,                                                            ,E03846100,                  ,329983118,4.0,                                                            ,B01.C-10,IP,SPLICE,,TS,VS30,570.0,38.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
591,V26MC4287N,B01,M,V26,MC4287N,E10536300,0.0,,,7205.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-12,IP,CORTE,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V23MC4287K,,,B01-TT
592,V242614_2L,B01,I,V24,2614_2L,E10536300,0.5,WH,PK,8140.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.B-15,IP,CORTE,,TS,VS30,45.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,B01-TT
593,V14MC7385B,B01,M,V14,MC7385B,E09311300,0.0,,,4650.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-17,IP,,,TT,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,B01-TT
594,V14MC7301B,B01,M,V14,MC7301B,E09311300,0.0,,,1045.0,60.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.C-15,IP,CORTE,,TT,VS30,600.0,10.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,360.0,,,,B01-TT
595,V242614_1L,B01,I,V24,2614_1L,E10536300,0.5,BK,PK,8140.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.B-15,IP,CORTE,,TS,VS30,45.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,B01-TT
596,V244278_1L,B01,I,V24,4278_1L,E10536200,0.5,BK,GY,8150.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-07,IP,SPLICE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
597,V174278_2E,B01,I,V17,4278_2E,E10536200,0.5,WH,GY,7860.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-09,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
598,V143959_2B,B01,I,V14,3959_2B,E09311300,0.35,GN,  ,5440.0,15.0,E00066800,                  ,,3.5,                                                            ,E04004100,                  ,329983118,4.0,                                                            ,B01.A-16,IP,SPLICE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
599,V143959_1B,B01,I,V14,3959_1B,E09311300,0.35,PK,  ,5440.0,15.0,E00066800,                  ,,3.5,                                                            ,E04004100,                  ,329983118,4.0,                                                            ,B01.A-16,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
600,V254287_2M,B01,I,V25,4287_2M,E10536300,0.5,WH,PK,7960.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-20,IP,SPLICE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
601,V127673_3,B01,I,V12,7673_3,E11176400,0.35,WH,  ,3440.0,15.0,E00066800,                  ,,3.5,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.B-04,IP,CORTE,,TT,VS30,195.0,13.0,39.0,0.0,18.0,0.0,32.0,0.0,17.0,0.0,28.0,0.0,0.0,0.0,135.0,,,,B01-TT
602,V254278_2M,B01,I,V25,4278_2M,E10536200,0.5,WH,GY,7750.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-19,IP,,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
603,V254287_1M,B01,I,V25,4287_1M,E10536300,0.5,BK,PK,7960.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-20,IP,CORTE,1000.0,TS,VS30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SEAL CRIMP,SEAL CRIMP,B01-TT
604,V16MC4287D,B01,M,V16,MC4287D,E10536300,0.0,,,8370.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-08,IP,CORTE,,TT,VS30,105.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V16MC4287D,,,B01-TT
605,V127561_3,B01,I,V12,7561_3,E03677800,0.35,OG,  ,3275.0,15.0,E03844600,                  ,,3.7,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-05,IP,CORTE,,TT,VS30,345.0,23.0,10.0,0.0,52.0,0.0,38.0,0.0,53.0,0.0,42.0,0.0,0.0,0.0,195.0,,,,B01-TT
606,V127561_4,B01,I,V12,7561_4,E03677800,0.35,PK,  ,3275.0,15.0,E03844600,                  ,,3.7,                                                            ,E00066800,                  ,,3.5,                                                            ,B01.C-05,IP,CORTE,,TT,VS30,345.0,23.0,10.0,0.0,52.0,0.0,38.0,0.0,53.0,0.0,42.0,0.0,0.0,0.0,195.0,,,,B01-TT
607,V16MC4278D,B01,M,V16,MC4278D,E10536200,0.0,,,8150.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-07,IP,CORTE,,TT,VS30,105.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V16MC4278D,,,B01-TT
608,V16MC2614D,B01,M,V16,MC2614D,E10536300,0.0,,,8370.0,15.0,,,,0.0,                                                            ,,,,0.0,                                                            ,B01.A-08,IP,CORTE,,TT,VS30,,0.0,17.0,0.0,25.0,0.0,10.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,90.0,V16MC4287D,,,B01-TT
609,V252614_2M,B01,I,V25,2614_2M,E10536300,0.5,WH,PK,7960.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-20,IP,SPLICE,,TS,VS30,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
610,V134803A,B01,C,V13,4803A,E09677700,16.0,BN,  ,2090.0,10.0,3202520S6,                  ,,9.5,                                                            ,3202520S6,                  ,,9.5,BT                                                          ,SB.A-01,IP,CORTE,1000.0,TT,VS30,40.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,V134803A,BATERIA,BATERIA,B01-TT
611,V252611_2M,B01,I,V25,2611_2M,E10536200,0.5,WH,GY,7760.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.C-02,IP,CORTE,,TS,VS30,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
612,V252614_1M,B01,I,V25,2614_1M,E10536300,0.5,BK,PK,7960.0,15.0,E03355600,                  ,329983100,4.0,                                                            ,E03999200,                  ,329983100,4.0,                                                            ,B01.A-20,IP,CORTE,,TS,VS30,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,B01-TT
